Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
25-34 years old,Man,Straight / Heterosexual;Queer,Indian;Asian;Southeast Asian;South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time","Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist;Developer, embedded applications or devices;Cloud infrastructure engineer;System administrator",Indian rupee,INR,2500000.0,Yearly,32243.0,12,5,Linux-based,Cloud Firestore;DynamoDB;PostgreSQL;Redis;SQLite,Cloud Firestore;DynamoDB;Elasticsearch;PostgreSQL;Redis;SQLite,Deno;Django;Phoenix;Svelte;Vue.js,Django;FastAPI,Bash/Shell;C;C++;Elixir;Go;Haskell;HTML/CSS;Python;Rust;SQL,Bash/Shell;C;C++;Go;HTML/CSS;Java;Python;SQL,DigitalOcean;Managed Hosting;OpenStack,AWS;DigitalOcean;Firebase;Google Cloud,2022
Under 18 years old,"Non-binary, genderqueer, or gender non-conforming",Gay or Lesbian,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time",,,,,,,5,,Linux-based;macOS,MariaDB,MariaDB,,,Assembly;Bash/Shell;Kotlin;Rust,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust,DigitalOcean,AWS;DigitalOcean;VMware,2022
25-34 years old,Man,Straight / Heterosexual,White,"Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,USA,"Employed, full-time","Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Student;Academic researcher;Scientist",United States dollar,USD,135000.0,Yearly,135000.0,13,7,Linux-based;Windows,MongoDB,Cassandra;MongoDB;MySQL;SQLite,,,Python,MATLAB;Python,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, back-end",United States dollar,USD,200000.0,Yearly,200000.0,7,5,macOS,DynamoDB;Microsoft SQL Server;Redis,DynamoDB;Redis,ASP.NET Core ,ASP.NET Core ;Express;Node.js,C#;Go;SQL,C#;JavaScript,AWS;Microsoft Azure,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,UK,"Not employed, but looking for work","Developer, back-end",,,,,,13,,Windows,Microsoft SQL Server;MongoDB,Microsoft SQL Server;SQLite,Angular;ASP.NET Core ;Blazor,ASP.NET Core ,C#;TypeScript,C#;SQL,Microsoft Azure;OpenStack,Microsoft Azure,2022
35-44 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, back-end;Database administrator;Project manager;Data or business analyst;System administrator",Pound sterling,GBP,38000.0,Monthly,572916.0,20,15,Windows,Microsoft SQL Server,Microsoft SQL Server,,,HTML/CSS;JavaScript;Python;SQL;VBA,JavaScript;SQL;VBA,,,2022
45-54 years old,Man,Bisexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack;Engineering manager",United States dollar,USD,175000.0,Yearly,175000.0,40,22,Windows,DynamoDB;Microsoft SQL Server;Firebase Realtime Database;Redis,Microsoft SQL Server,ASP.NET;ASP.NET Core ;jQuery;Node.js;React.js,ASP.NET;jQuery,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;SQL,AWS;Firebase;Microsoft Azure,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,,,,15,15,macOS,MariaDB,MariaDB,Drupal;Next.js;React.js;Symfony,Drupal;React.js;Symfony,JavaScript;PHP;TypeScript,JavaScript;PHP;TypeScript,DigitalOcean,DigitalOcean,2022
35-44 years old,Man,,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,USA,"Employed, full-time","Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications",United States dollar,USD,100000.0,Yearly,100000.0,19,17,macOS;Windows,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Firebase Realtime Database;Redis,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Redis,jQuery;Laravel;Next.js;Nuxt.js;React.js;Svelte;Symfony;Vue.js,jQuery;Laravel;React.js;Symfony;Vue.js,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,AWS;DigitalOcean;Firebase;Heroku;Linode,AWS;DigitalOcean;Linode,2022
65 years or older,,,"Or, in your own words:",Something else,"Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Developer, full-stack;Educator;Other (please specify):;Developer, game or graphics;Designer;Senior Executive (C-Suite, VP, etc.);Security professional",United States dollar,USD,,,,More than 50 years,More than 50 years,Linux-based;Other (please specify):,,,Django;jQuery,Django;jQuery,C;HTML/CSS;JavaScript;Julia;Python,C;HTML/CSS;JavaScript;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,India,"Employed, full-time","Developer, front-end;Developer, full-stack",Indian rupee,INR,2000000.0,Monthly,309528.0,7,,Linux-based;macOS,Elasticsearch;MongoDB,Elasticsearch;MongoDB,Angular;Angular.js;Express;Flask;Node.js;React.js,Angular;Angular.js;Express;Flask;jQuery;Node.js;React.js,HTML/CSS;JavaScript;Python,Bash/Shell;HTML/CSS;JavaScript;Python,AWS,AWS;Firebase;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, mobile",United States dollar,USD,232000.0,Yearly,232000.0,5,2,macOS;Windows,,IBM DB2;MySQL;Firebase Realtime Database,,Node.js,F#;Rust,C#;Java;JavaScript;Kotlin;Swift;TypeScript,,Firebase;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Middle Eastern,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, back-end;Cloud infrastructure engineer",European Euro,EUR,63000.0,Yearly,67186.0,12,5,Linux-based;Windows;Windows Subsystem for Linux (WSL),MongoDB;PostgreSQL,PostgreSQL,ASP.NET Core ,Angular;ASP.NET Core ;Next.js;Node.js,C#;C++;Go;SQL,C#;C++;Java;SQL;TypeScript,AWS;Microsoft Azure,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,,,,7,7,macOS,Cassandra;MySQL,Microsoft SQL Server;MongoDB;SQLite,ASP.NET Core ;Blazor;Next.js;React.js,Angular;ASP.NET;Express;jQuery;Node.js,Dart;Python;VBA,C#;HTML/CSS;JavaScript;SQL;TypeScript,AWS,Firebase;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Other doctoral degree (Ph.D., Ed.D., etc.)","Just me - I am a freelancer, sole proprietor, etc.",USA,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",United States dollar,USD,,,,28,15,,,MariaDB;MySQL;Redis;SQLite,,Flask;jQuery;Node.js,,Bash/Shell;C;C++;HTML/CSS;JavaScript;Perl;Python;SQL,,AWS;DigitalOcean;Linode,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,Germany,"Employed, full-time;Student, part-time","Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Academic researcher;Scientist",,,,,,14,,Windows,,,,,Bash/Shell;Java;PowerShell;Python,Bash/Shell;Java;MATLAB;PowerShell;Python,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian;Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, part-time;Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Student;Developer, mobile;Designer",,,,,,2,,Linux-based,Cloud Firestore;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Angular;Deno;Django;Express;FastAPI;Fastify;Flask;Gatsby;Next.js;Node.js;Nuxt.js;React.js;Ruby on Rails;Svelte;Vue.js,Express;Flask;jQuery;Next.js;Node.js;React.js,Assembly;Bash/Shell;C++;Go;HTML/CSS;JavaScript;Python;Rust;Solidity;TypeScript,Bash/Shell;C;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Linode;Microsoft Azure;VMware,AWS;Firebase;Google Cloud;Heroku;Microsoft Azure;VMware,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Student, full-time",,,,,,,6,,Linux-based,,SQLite,,,Bash/Shell;JavaScript;Python;R;TypeScript,Bash/Shell;JavaScript;Python;R;TypeScript,,,2022
45-54 years old,Man,Prefer not to say,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Database administrator;Product manager",United States dollar,USD,150000.0,Yearly,150000.0,27,27,Linux-based;Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server,Microsoft SQL Server;Redis,Angular;ASP.NET Core ;Blazor,Angular;ASP.NET Core ,C#;PowerShell;SQL;TypeScript,C#;Go;JavaScript;PowerShell;SQL;TypeScript,,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;DevOps specialist;Project manager;Product manager;System administrator",United States dollar,USD,180000.0,Yearly,180000.0,13,7,Linux-based;Windows;Windows Subsystem for Linux (WSL),PostgreSQL,PostgreSQL,,,Bash/Shell;C++;Python;Rust;SQL,Bash/Shell;C++;Python;SQL,,,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Project manager;Data or business analyst",United States dollar,USD,450000.0,Yearly,450000.0,26,26,Windows,Microsoft SQL Server,Microsoft SQL Server,ASP.NET Core ;Blazor,ASP.NET Core ;Blazor,C#;JavaScript;PowerShell;SQL,C#;JavaScript;PowerShell;SQL,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator;Product manager;System administrator",United States dollar,USD,,,,11,8,Linux-based;macOS,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Angular;Angular.js;jQuery;React.js;Svelte;Vue.js,Angular;Angular.js;jQuery;React.js;Vue.js,Bash/Shell;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell;C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,AWS;Google Cloud,AWS;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,India,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, mobile;Designer",Indian rupee,INR,350000.0,Yearly,4514.0,8,3,Windows,MySQL;Firebase Realtime Database,MySQL,,Angular.js;Next.js;Node.js;React.js,Java;Kotlin;PHP;SQL,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Firebase;Google Cloud,Firebase,2022
35-44 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,Colombia,"Employed, full-time","Developer, full-stack",Colombian peso,COP,8000000.0,Monthly,24156.0,24,11,Windows;Windows Subsystem for Linux (WSL),,DynamoDB;Microsoft SQL Server;MySQL,Next.js;Node.js;React.js,Angular;ASP.NET;ASP.NET Core ;jQuery;Node.js;React.js,Bash/Shell;HTML/CSS;JavaScript;TypeScript,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;VBA,AWS,AWS;VMware,2022
25-34 years old,Man,Straight / Heterosexual,Indian;North American;South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,USA,"Employed, full-time","Developer, front-end;Developer, back-end;Database administrator;Project manager;Data or business analyst;Product manager",United States dollar,USD,,Monthly,,7,3,Windows,MongoDB;MySQL;Firebase Realtime Database,Microsoft SQL Server;MySQL,Deno;Drupal;jQuery;Node.js;Vue.js,jQuery,HTML/CSS;JavaScript;PHP;Python;R;SQL,HTML/CSS;JavaScript;PHP;SQL,,,2022
35-44 years old,Man,Gay or Lesbian,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",United States dollar,USD,93000.0,Yearly,93000.0,4,2,macOS,Cloud Firestore;MongoDB;PostgreSQL,Cloud Firestore;MongoDB;PostgreSQL,Django;Express;Node.js;React.js;Ruby on Rails;Vue.js,jQuery;Ruby on Rails;Vue.js,Bash/Shell;HTML/CSS;JavaScript;Python;Ruby;SAS;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;Ruby;SAS;TypeScript,AWS;Firebase,AWS;Firebase;Heroku,2022
55-64 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",United States dollar,USD,220000.0,Yearly,220000.0,43,36,macOS,MongoDB;MySQL;PostgreSQL,PostgreSQL;Redis,ASP.NET Core ;Express;FastAPI;Node.js;React.js,Express;FastAPI;Flask;Node.js,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Go;JavaScript;PHP;Python;SQL,AWS;Microsoft Azure,AWS,2022
