Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",16,10,"Developer, back-end","10,000 or more employees","GBP	Pound sterling",NA,NA,C#;TypeScript,C#,"Microsoft SQL Server;Oracle",Elasticsearch;MySQL,"Microsoft Azure","AWS;Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Spain,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,5,"Developer, back-end","10 to 19 employees","EUR European Euro",43000,Yearly,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C++;Clojure;JavaScript;Node.js;Rust;SQL;TypeScript,PostgreSQL,MongoDB;PostgreSQL;Redis,AWS,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Hispanic or Latino/a/x",46482
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",15,6,"Developer, desktop or enterprise applications;Developer, back-end","1,000 to 4,999 employees","EUR European Euro",71500,Yearly,C;C++;Java;Perl;Ruby,Rust,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",77290
"Employed full-time",Peru,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,NA,"Data scientist or machine learning specialist",NA,NA,NA,NA,C;C++;JavaScript;Python;R;SQL,NA,MySQL;PostgreSQL,NA,AWS,DigitalOcean,MacOS,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say",NA
"Not employed, but looking for work","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",40,NA,NA,NA,NA,NA,NA,JavaScript;SQL,JavaScript;PHP;SQL,MySQL,MySQL,NA,NA,Linux-based,"45-54 years old",Man,"Prefer not to say","Prefer not to say",NA
"Student, full-time","United States of America","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,NA,NA,NA,NA,NA,NA,Bash/Shell;Python,Bash/Shell;Python,NA,NA,NA,NA,Linux-based,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Turkey,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,2,"Developer, full-stack","100 to 499 employees","TRY	Turkish lira",9000,Monthly,C#;HTML/CSS;Java;JavaScript;Node.js,C#;Java;JavaScript;Node.js,"Microsoft SQL Server;MongoDB;PostgreSQL",MongoDB;PostgreSQL,"AWS;Google Cloud Platform","AWS;Google Cloud Platform",Windows,"25-34 years old",Man,NA,"Middle Eastern",17748
"Employed full-time",Canada,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",9,6,"Developer, front-end;Developer, full-stack;Developer, back-end","500 to 999 employees","CAD	Canadian dollar",61000,Yearly,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL,MySQL;PostgreSQL,MySQL,AWS,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",46135
"I prefer not to say",Singapore,"Other doctoral degree (Ph.D., Ed.D., etc.)",40,30,NA,"5,000 to 9,999 employees","SGD	Singapore dollar",18700,Monthly,C++;Python,C++;Python,NA,NA,NA,NA,Linux-based,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",160932
"Employed full-time",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,9,"Other (please specify):",NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript,C;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual",Multiracial,NA
"Student, full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,Java;Python,Java;Python,MySQL;PostgreSQL,MySQL;PostgreSQL,AWS,NA,Windows,"25-34 years old",Man,NA,"White or of European descent",NA
"Student, full-time",Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,JavaScript;Python,APL;Python,SQLite,NA,Heroku,NA,Linux-based,"18-24 years old",Man,NA,"White or of European descent;I don't know",NA
"Student, full-time",India,"Some college/university study without earning a degree",7,NA,NA,NA,NA,NA,NA,C#;HTML/CSS;Python,Java;Kotlin;Python,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Prefer not to say","Prefer not to say",NA
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",9,2,"Engineer, data;Data scientist or machine learning specialist","10 to 19 employees","EUR European Euro",36000,Yearly,JavaScript;Python,Python;SQL,MySQL,Elasticsearch;MongoDB;MySQL;PostgreSQL,NA,NA,Linux-based,"25-34 years old",Man,NA,"White or of European descent",38915
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",26,18,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees","EUR European Euro",72000,Yearly,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,DynamoDB;PostgreSQL,PostgreSQL,AWS;Heroku,AWS;Heroku,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",77831
"Employed full-time",Germany,"Other doctoral degree (Ph.D., Ed.D., etc.)",12,12,"Academic researcher;Database administrator;Scientist","100 to 499 employees","EUR European Euro",NA,Monthly,HTML/CSS;Julia;Python;R;SQL,HTML/CSS;Julia;Python;R;SQL,PostgreSQL;SQLite,PostgreSQL,NA,NA,Linux-based,"35-44 years old","Non-binary, genderqueer, or gender non-conforming",Bisexual,"White or of European descent",NA
"Employed full-time",Switzerland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",14,5,"Academic researcher;Scientist;Student","5,000 to 9,999 employees","CHF	Swiss franc",80000,Yearly,C++;Python,C++;Go;Java;Python,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,NA,"White or of European descent",81319
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",39,21,"Developer, back-end","5,000 to 9,999 employees","GBP	Pound sterling",53000,Yearly,Python,Bash/Shell;Python;SQL,PostgreSQL,PostgreSQL,NA,NA,Linux-based,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",68507
"Independent contractor, freelancer, or self-employed","United Kingdom of Great Britain and Northern Ireland","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14,1,"Developer, back-end;Developer, QA or test","Just me - I am a freelancer, sole proprietor, etc.","GBP	Pound sterling",NA,NA,Bash/Shell;Haskell;JavaScript;SQL;TypeScript,Bash/Shell;C#;F#;Haskell;Rust;Scala,"Microsoft SQL Server",PostgreSQL;Redis,"AWS;Google Cloud Platform;Microsoft Azure","AWS;Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","Russian Federation","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",20,16,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator","2 to 9 employees","RUB	Russian ruble",200000,Monthly,Delphi;Java;SQL,Java;Kotlin;Scala;SQL,PostgreSQL,Cassandra;MongoDB;PostgreSQL;Redis,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",37752
"I prefer not to say",Malawi,"Something else",4,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js;Python;TypeScript,NA,MongoDB;MySQL;Redis,MariaDB,AWS;DigitalOcean;Heroku,NA,Linux-based,"Prefer not to say",Man,"Straight / Heterosexual;Bisexual","I don't know",NA
"Employed full-time",Israel,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,2,"Engineer, data;Developer, back-end","5,000 to 9,999 employees","ILS	Israeli new shekel",35000,Monthly,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL,Bash/Shell;Java;Python;Scala;SQL,DynamoDB;MongoDB;MySQL;PostgreSQL,Cassandra;MongoDB;MySQL;PostgreSQL;Redis,"AWS;Google Cloud Platform;Microsoft Azure","AWS;Google Cloud Platform",MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Middle Eastern",122580
"Not employed, but looking for work",Poland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",8,NA,"Developer, full-stack",NA,NA,NA,NA,C++;HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Microsoft SQL Server;MySQL","Microsoft SQL Server;MySQL",NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Turkey,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,2,"Developer, game or graphics","2 to 9 employees","TRY	Turkish lira",6000,Monthly,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL,C#;C++;Java,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",11832
"Employed full-time",Ukraine,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",17,10,"Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;Developer, embedded applications or devices;DevOps specialist","2 to 9 employees","USD	United States dollar",2000,Monthly,Bash/Shell;C;C#;C++;Java,C++,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",24000
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",19,10,"Developer, full-stack;Developer, back-end","500 to 999 employees","EUR European Euro",56000,Yearly,C;C++;Java;Python,C;C++;Python,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",60535
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,"Less than 1 year","Developer, embedded applications or devices","20 to 99 employees","USD	United States dollar",103000,Yearly,Assembly;C;Java;Kotlin;Rust,Assembly;Kotlin;Rust;SQL,NA,NA,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",103000
"Employed full-time","United States of America","Some college/university study without earning a degree",20,15,"Developer, back-end","1,000 to 4,999 employees","USD	United States dollar",300000,Yearly,Go,Go;Rust,NA,NA,"AWS;Google Cloud Platform;Microsoft Azure",NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",300000
"Not employed, but looking for work","Viet Nam","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,NA,"Developer, front-end",NA,NA,NA,NA,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,SQLite,NA,Heroku,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","Southeast Asian",NA
"Student, part-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",3,NA,NA,NA,NA,NA,NA,C;C#;C++;HTML/CSS;JavaScript;Node.js;Python,NA,MongoDB,NA,Heroku,NA,Linux-based,"18-24 years old",Woman,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Portugal,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Less than 1 year",5,"Developer, full-stack","20 to 99 employees","EUR European Euro",NA,Monthly,C;C#;C++;Java;Kotlin;Python,Dart;Kotlin;Python;Swift,MongoDB;MySQL;Oracle;PostgreSQL,MongoDB;PostgreSQL,NA,NA,MacOS,"25-34 years old",Man,NA,NA,NA
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,3,"Academic researcher;Scientist;Student","20 to 99 employees","EUR European Euro",24000,Yearly,Bash/Shell;C#;C++;Python,C++;Python,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",25944
"Student, full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,NA,NA,NA,NA,NA,NA,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;Scala;TypeScript,Bash/Shell;Dart;Go;Haskell;Kotlin;Rust;Scala,"DynamoDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite",NA,"AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure",NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Not employed, but looking for work","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,"Developer, back-end",NA,NA,NA,NA,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,NA,MongoDB;PostgreSQL;SQLite,NA,AWS;DigitalOcean;Heroku,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,"Less than 1 year","Developer, full-stack","10 to 19 employees","EUR European Euro",NA,NA,HTML/CSS;JavaScript;Node.js;Python;R;SQL;TypeScript,NA,PostgreSQL,NA,"Google Cloud Platform",NA,Linux-based,"18-24 years old",Woman,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",22,15,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","2 to 9 employees","BRL	Brazilian real",22000,Monthly,C#;C++;JavaScript;PowerShell;SQL;TypeScript,C#;Clojure;F#;SQL;TypeScript,"Microsoft SQL Server;PostgreSQL;Redis","Microsoft SQL Server;PostgreSQL;Redis","Heroku;Microsoft Azure","AWS;Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",60480
"I prefer not to say",Peru,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",NA
Retired,"United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",39,35,NA,NA,NA,NA,NA,Java,Java,MySQL,NA,AWS,NA,Windows,"65 years or older",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Bulgaria,"Some college/university study without earning a degree",7,1,"Developer, desktop or enterprise applications","1,000 to 4,999 employees","BGN	Bulgarian lev",3100,Monthly,C++;SQL,Go;Java;Python,MongoDB;MySQL,NA,NA,NA,Linux-based,"18-24 years old",Man,"Prefer to self-describe:","White or of European descent",20556
"Student, full-time",India,"Some college/university study without earning a degree",NA,NA,NA,NA,NA,NA,NA,C;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,Dart;Elixir;Go;SQL,NA,NA,Heroku,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Greece,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,6,"Developer, full-stack","20 to 99 employees","EUR European Euro",2000,Monthly,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA,HTML/CSS;JavaScript;Node.js;TypeScript,"Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Couchbase;Microsoft SQL Server;MongoDB;Redis;SQLite","AWS;DigitalOcean;Microsoft Azure",DigitalOcean,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",25944
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",14,7,"Developer, front-end","100 to 499 employees","GBP	Pound sterling",NA,NA,C#;HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,NA,NA,NA,NA,Windows,"25-34 years old",Man,NA,"White or of European descent",NA
"Employed full-time",India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",5,4,"Developer, full-stack","1,000 to 4,999 employees","INR	Indian rupee",NA,NA,HTML/CSS;JavaScript;Node.js;Python;TypeScript,HTML/CSS;JavaScript;Node.js;PowerShell;Python;R;TypeScript,Firebase;MongoDB;Redis,DynamoDB;Elasticsearch;Firebase;MongoDB;Redis,"AWS;DigitalOcean;Heroku;Microsoft Azure;Oracle Cloud Infrastructure","AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson",MacOS,"25-34 years old",Man,"Prefer not to say","I don't know",NA
"Student, full-time","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,NA,NA,NA,NA,NA,NA,PowerShell,Python,NA,NA,"Google Cloud Platform","Google Cloud Platform",Linux-based,"25-34 years old",Woman,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time","Iran, Islamic Republic of...","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",1,NA,NA,NA,NA,NA,NA,R,R;SQL,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","Middle Eastern",NA
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",34,12,"Developer, full-stack","1,000 to 4,999 employees","GBP	Pound sterling",50000,Yearly,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript,Java;Kotlin;Python;SQL,MySQL;SQLite,MySQL,NA,NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",64630
"Employed full-time",Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,2,"Developer, mobile","2 to 9 employees","EUR European Euro",NA,Yearly,Java;Kotlin;Swift,NA,MySQL,NA,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",21,16,"Developer, desktop or enterprise applications;Developer, back-end","500 to 999 employees","EUR European Euro",50000,Yearly,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL,NA,"Microsoft SQL Server;MySQL;Oracle;SQLite",NA,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",54049
"Employed full-time","Russian Federation","Professional degree (JD, MD, etc.)",5,3,"Developer, full-stack;Data scientist or machine learning specialist","20 to 99 employees","RUB	Russian ruble",120000,Monthly,Bash/Shell;HTML/CSS;JavaScript;Python;SQL,Python,Oracle,Elasticsearch;MongoDB;PostgreSQL;Redis,Heroku,"Google Cloud Platform",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",22644
"Student, full-time",India,"Something else",2,NA,NA,NA,NA,NA,NA,Bash/Shell;C;JavaScript;Python;SQL,NA,NA,NA,"AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure",NA,Linux-based,"Under 18 years old","Non-binary, genderqueer, or gender non-conforming","Straight / Heterosexual;Bisexual;Gay or Lesbian;Queer","East Asian",NA
"Student, full-time",Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,MySQL;Redis,MongoDB;MySQL;Redis,"AWS;Google Cloud Platform;Heroku",AWS;Heroku,MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,5,"Data or business analyst","10,000 or more employees","USD	United States dollar",NA,NA,Python;R;VBA,Julia;Python;R;SQL,"Microsoft SQL Server","Microsoft SQL Server;SQLite",NA,NA,Windows,"25-34 years old",Man,NA,NA,NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",13,5,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;Designer;Engineering manager","10,000 or more employees","USD	United States dollar",130000,Yearly,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;VBA,HTML/CSS;JavaScript;Node.js;Python;SQL,"Microsoft SQL Server;Oracle;SQLite","Microsoft SQL Server","AWS;IBM Cloud or Watson;Microsoft Azure","AWS;IBM Cloud or Watson;Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual",NA,130000
"Student, full-time","United States of America","Primary/elementary school",5,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js,HTML/CSS;JavaScript;Node.js,NA,NA,NA,NA,Linux-based,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Independent contractor, freelancer, or self-employed","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,5,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Data or business analyst;Designer","2 to 9 employees","USD	United States dollar",500000,Yearly,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,MySQL,MySQL,AWS,AWS,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",500000
"Student, full-time",Sweden,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",7,NA,NA,NA,NA,NA,NA,HTML/CSS;PHP;Python;SQL,NA,MariaDB;SQLite,NA,DigitalOcean,NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","I don't know",NA
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Other doctoral degree (Ph.D., Ed.D., etc.)",5,2,"Data scientist or machine learning specialist;Academic researcher;Scientist","1,000 to 4,999 employees","AED United Arab Emirates dirham",NA,NA,HTML/CSS;Java;JavaScript;Matlab;Python;R;Scala;SQL,NA,Elasticsearch;MySQL;PostgreSQL,NA,"AWS;Heroku;Microsoft Azure",NA,Linux-based,"25-34 years old",Man,"Prefer not to say","Prefer not to say",NA
"Employed full-time",Canada,"Some college/university study without earning a degree",25,10,"Developer, desktop or enterprise applications;Developer, back-end;Database administrator","100 to 499 employees","CAD	Canadian dollar",95000,Yearly,C#;VBA,C#;TypeScript;VBA,"Microsoft SQL Server;MySQL","Microsoft SQL Server",NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",71850
"Employed full-time",Spain,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",20,10,"Developer, back-end","10,000 or more employees","EUR European Euro",54000,Yearly,Bash/Shell;JavaScript;Node.js;TypeScript,JavaScript;Node.js;Python;TypeScript,DynamoDB,DynamoDB;Firebase,AWS,"AWS;Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual",NA,58373
